air_pressure_9am	air_temp_9am	avg_wind_direction_9am	avg_wind_speed_9am	max_wind_direction_9am	max_wind_speed_9am	relative_humidity_9am	rain_accumulation_9am	rain_duration_9am	relative_humidity_3pm
918.06	74.822	271.1	2.0803542	295.4	2.8632832	42.42	0	0	36.16
917.3476881	71.40384263	101.9351794	2.443009216	140.4715485	3.533323602	24.32869729	0	0	19.4265968
923.04	60.638	51	17.0678522	63.7	22.1009672	8.9	0	20	14.46
920.5027512	70.13889487	198.8321327	4.337363056	211.2033412	5.19004536	12.18910187	0	0	12.74254735
921.16	44.294	277.8	1.8566602	136.5	2.8632832	92.41	8.9	14730	76.74
915.3	78.404	182.8	9.9320136	189	10.9833754	35.13	0.02	170	33.93
915.5988675	70.04330432	177.8754072	3.745586538	186.6066959	4.589632429	10.65742166	0	0	21.38565673
918.07	51.71	242.4	2.5277422	271.6	3.6462122	80.47	0	0	74.92
920.08	80.582	40.7	4.5186188	63	5.8831522	29.58	0	0	24.03
915.01	47.498	163.1	4.9436374	195.9	6.5766036	88.6	0	0	68.05
919.65	77.036	70.6	3.8251674	85.5	4.7646822	22.07	0	0	32.13
915.64	45.716	241.6	5.8607828	265.8	8.0306146	90.56	0.55	1770	79.09
917.39	49.784	204.1	1.2750558	211.8	2.013246	73.15	0	0	58.43
920.82	62.438	213.6	2.6172198	165.7	3.3106712	43.64	0	0	27.99
911	86.432	202.9	1.2079476	162.9	1.677705	15.19	0	0	24.37
922.3831312	70.86526349	36.17417478	1.847278084	58.42863249	2.529142074	12.11088934	0	0	14.80170596
916.9152554	77.01896058	234.539345	2.274725297	229.4741987	2.906513109	21.03146177	0	0	20.75568332
918.8	67.082	176.1	4.8765292	183.4	5.5699806	18.9	0	0	45.87
922.04	68.576	58.3	9.5517338	81.9	12.5716028	7.54	0	0	7.74
919.9922622	62.96438312	54.79909362	12.68043574	74.25422349	15.45230581	18.80951786	0	0	14.64990936
917.23	67.676	177.8	2.460634	93.2	3.2883018	40.64	0	0	41.34
921.125626	68.81877189	71.79909228	2.576537767	95.47233356	3.487443587	11.74220123	0	0	17.28116117
920.35	47.57	192.1	6.263432	205.7	7.605596	54.55	0	0	66
921.7882289	71.65957221	217.4055201	1.946446506	253.758003	2.719711659	11.19424977	0	0	16.33171563
918.03	50.666	128.9	2.5277422	117.4	4.0041226	76.88	0	0	47.03
914.49	49.892	163	4.8541598	189.6	6.7331894	92.1	0	0	90.99
914.9	78.62	203.3	1.8119214	240	2.7514362	47.89	0	220	43.9
915.84	40.118	171.9	10.5359874	188	12.9295132	86.43	0	0	84.39
916.31	45.428	183.1	8.3437862	194.6	10.0885994	86.15	0	0	90.58
919.35	91.112	96.4	2.5277422	96.3	3.3777794	25.62	0	0	35.69
916.28	55.544	174.6	2.5948504	191.7	3.3777794	79.92	0	0	61.84
918.7	76.226	184.6	4.0936002	194.9	4.7423128	19.17	0	0	31.97
918.37	63.914	53.7	14.4506324	72.1	17.0454828	19.68	0	0	14.54
923.6	59.882	192.8	4.2949248	203.5	5.1897008	22.47	0	0	14.26
917.3	85.082	149.7	2.013246	71	2.8632832	32.02	0	0	29.84
912.64	53.996	177.7	6.822667	190.7	8.6345884	89.77	0	0	55.57
914.67	64.166	137.8	2.125093	177	2.7290668	58.57	0	0	39.96
914.66	50.36	177.6	8.5227414	186.3	10.0214912	91.22	0	20	88.35
921.9699513	60.95534153	164.621486	1.664442299	195.7799675	2.367181133	12.1096289	0	0	15.84956394
919.3	64.22	182.2	10.7596814	186.5	11.7886738	34.63	0	0	61.32
921.09	68.666	50.7	14.204569	62.5	17.0454828	17.58	0	0	14.24
921.5	49.55	90.7	1.7448132	112.3	2.684328	34.35	1.53	5420	49.5
914.9	64.688	174.6	5.6594582	184.5	6.8674058	43.37	0	0	49.39
924.2	68.882	56.3	9.8872748	69	11.8781514	14.23	0	0	13.58
914.54	67.658	170.2	8.2543086	184.3	10.849159	35.05	0	0	48.76
